Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
150,Congo,"11,343",,148,,"8,208",,"2,987",,"2,013",26,"141,948","25,187","5,635,839",Africa,497,"38,080",40,,,530
151,Bahamas,"11,024",,216,,"9,967",,841,5,"27,802",545,"91,550","230,884","396,519",North America,36,"1,836",4,,,"2,121"
152,Aruba,"10,854",,104,,"10,662",,88,14,"101,286",970,"157,746","1,472,033","107,162",North America,10,"1,030",1,,,821
153,Lesotho,"10,790",,320,,"6,427",,"4,043",,"5,002",148,"87,981","40,788","2,157,056",Africa,200,"6,741",25,,,"1,874"
154,South Sudan,"10,652",,115,,"10,462",,75,,942,10,"159,088","14,069","11,308,016",Africa,"1,062","98,331",71,,,7
155,Seychelles,"9,184",,32,,"6,413",,"2,739",,"92,882",324,"21,504","217,480","98,878",Africa,11,"3,090",5,,,"27,701"
156,Benin,"7,995",,101,,"7,652",,242,35,645,8,"595,112","47,999","12,398,337",Africa,"1,551","122,756",21,,,20
157,Equatorial Guinea,"7,694",,112,,"7,279",,303,7,"5,333",78,"123,169","85,366","1,442,826",Africa,188,"12,882",12,,,210
158,Nicaragua,"7,086",,184,,"4,225",,"2,677",,"1,059",27,,,"6,693,189",North America,945,"36,376",,,,400
159,CAR,"6,866",,95,,"5,112",,"1,659",2,"1,400",19,"40,907","8,344","4,902,756",Africa,714,"51,608",120,,,338
160,Iceland,"6,548",+11,29,,"6,456",+11,63,4,"19,081",85,"631,957","1,841,501","343,175",Europe,52,"11,834",1,32,,184
161,Yemen,"6,543",,"1,289",,"3,023",,"2,231",23,215,42,"36,546","1,202","30,395,998",Asia,"4,646","23,581",832,,,73
162,Gambia,"5,940",,175,,"5,674",,91,3,"2,400",71,"76,379","30,855","2,475,455",Africa,417,"14,145",32,,,37
163,Niger,"5,333",,192,,"4,953",,188,2,214,8,"102,334","4,099","24,963,103",Africa,"4,681","130,016",244,,,8
164,San Marino,"5,083",,90,,"4,968",,25,4,"149,531","2,648","63,241","1,860,412","33,993",Europe,7,378,1,,,735
165,Chad,"4,904",,173,,"4,688",,43,,291,10,"116,839","6,941","16,833,892",Africa,"3,433","97,306",144,,,3
166,Saint Lucia,"4,818",,75,,"4,516",,227,2,"26,134",407,"43,118","233,879","184,360",North America,38,"2,458",4,,,"1,231"
167,Timor-Leste,"4,589",+131,10,,"2,406",+70,"2,173",,"3,424",7,"85,223","63,587","1,340,259",Asia,292,"134,026",16,98,,"1,621"
168,Vietnam,"4,359",+184,37,+1,"2,668",,"1,654",,44,0.4,"3,091,540","31,514","98,101,977",Asia,"22,506","2,651,405",32,2,0.01,17
169,Burundi,"4,329",,6,,773,,"3,550",,355,0.5,"279,132","22,885","12,197,235",Africa,"2,818","2,032,873",44,,,291
171,Sierra Leone,"4,107",,79,,"3,104",,924,,506,10,"153,257","18,879","8,117,836",Africa,"1,977","102,757",53,,,114
172,Channel Islands,"4,057",,86,,"3,956",,15,,"23,148",491,"454,413","2,592,794","175,260",Europe,43,"2,038",0,,,86
173,Barbados,"3,967",,46,,"3,922",,-1,,"13,790",160,"162,817","565,962","287,682",North America,73,"6,254",2,,,-3.48
174,Comoros,"3,863",,146,,"3,699",,18,,"4,362",165,,,"885,680",Africa,229,"6,066",,,,20
175,Eritrea,"3,844",,12,,"3,654",,178,,"1,071",3,"23,693","6,601","3,589,136",Africa,934,"299,095",151,,,50
176,Guinea-Bissau,"3,746",,67,,"3,438",,241,9,"1,865",33,"65,627","32,677","2,008,341",Africa,536,"29,975",31,,,120
177,Liechtenstein,"2,990",+5,58,,"2,887",,45,3,"78,223","1,517","39,109","1,023,153","38,224",Europe,13,659,1,131,,"1,177"
